,Sentiment,tweet,date,Polarity
16,0,ate way too much mexican food i think i've ruined 2 weeks worth of good work,Mon Jun 22 14:32:00 PDT 2009,Negative
17,0,"still has a sore throat, but i want to go get some random food in a-town, but i can't find anybody to go with me   hello, hot pockets!",Thu Jun 25 02:41:01 PDT 2009,Negative
18,0,where is my phone &amp; good foods? aaaaaaaaah,Tue Apr 07 02:38:50 PDT 2009,Negative
19,0,"getting kicked off the comp by the girl who always liks my food,  im out",Sat Apr 18 23:07:49 PDT 2009,Negative
20,0,"@leannenufc oooh i wish! the boys were munching bacon butties yesterday &amp; stinking the house out with gorge food smells, the meanies",Fri May 22 00:00:43 PDT 2009,Negative
21,0,i miss my kitty; i dont even want to go home because i wont have my cuddle buddy anymore  no more sneaking her food. sigh im sad,Mon Jun 01 02:00:22 PDT 2009,Negative
22,0,photo: iattackfood: i want this jacket. seriously. kahit yung fake sa greenhills.  http://tumblr.com/xlr1x6vyv,Mon Jun 01 05:12:42 PDT 2009,Negative
23,0,omg bellllyyy shoutin at sum food.. brb soooo starving it ain't a joke,Mon Jun 01 08:44:39 PDT 2009,Negative
24,0,food still cooking...looking &amp;&amp; smelling good..but i don't feel good so i guess i'll eat later,Tue Jun 02 16:05:48 PDT 2009,Negative
25,0,someone feed me some food pls,Tue Jun 02 23:02:42 PDT 2009,Negative
26,0,"food poisoning is miserable, dude. and it's alex's last day in town for a week",Sat Jun 06 06:44:23 PDT 2009,Negative
27,0,cleaning today.  looking for a job. but i don't want to work at a fast food place. any suggestions?,Sun Jun 07 08:09:59 PDT 2009,Negative
28,0,"no sushi...   just 1/2 chicken sandwich, 1/2 grapefruit, 1/2 my leftover muffin.  better than no food!  : d",Tue Jun 16 13:04:21 PDT 2009,Negative
29,0,chinese food was a bad choice! my stomach is killing me,Tue Jun 16 17:38:11 PDT 2009,Negative
30,0,i haven't  got any food in and have a new credit card being sent to me so i can't take any money out for a take away.  i might die.,Thu Jun 18 09:35:37 PDT 2009,Negative
31,0,my car smells like food &amp; wet assss,Thu Jun 18 13:12:45 PDT 2009,Negative
32,0,if i was in a relationship right now i'd call him up and ask him to bring me some food...my stomach hurts,Thu Jun 18 20:01:05 PDT 2009,Negative
33,0,"@italianrecipe hope i can modify your recipes. my kid as a potentially fatal food allergy to garlic, all beans.  thnx for following!",Sat Jun 20 06:12:26 PDT 2009,Negative
34,0,beat day ever for 160+ people to come over for bbq!!! i'm in bergen co w/ mira bc she's a stupid bitch around strangers &amp; food. sadsadsad,Sat Jun 20 11:20:36 PDT 2009,Negative
35,0,stomach flu or food posioning... either way its no fun,Mon Jun 22 13:40:10 PDT 2009,Negative
36,4,@loumanna just ordered your digital food photography book after being inspired by your talk at hallmark!,Tue Apr 07 05:59:12 PDT 2009,Positive
37,0,"has to go food shopping today. how boring, then back tro work tomorrow",Sun Apr 19 03:46:15 PDT 2009,Negative
38,0,"since i am up already, gonna get some shit done around the house. i have fast food hangover.",Sun May 10 03:56:45 PDT 2009,Negative
39,0,"just had awesome peruvian food w the fam, but now i reak like it ew",Sun May 10 18:39:35 PDT 2009,Negative
40,0,no pop- check! wise food choices-half check! jog- no check   ...hopefully tomorrow's goal will be better!,Mon May 11 22:43:25 PDT 2009,Negative
41,0,done with food shopping now off to ikea,Fri May 22 01:06:46 PDT 2009,Negative
42,0,foods taking forever &amp; a day. not cute.,Thu May 28 21:50:00 PDT 2009,Negative
43,0,i realized that i was cooking something... now its charred   charred food anyone?,Sat May 30 14:14:29 PDT 2009,Negative
44,0,@girlardee i remember trying burger king's angry whopper.  supposed to be really hot.  never had such a non-spicy food in my life.,Sat May 30 22:01:45 PDT 2009,Negative
45,0,"he started refusing food yesterday     re:rubykelz: @superann43 i am so sorry mom &amp; dad, april told me how bad he was this past week",Sun May 31 06:33:17 PDT 2009,Negative
46,0,"note to self: stay away from benihana....very bad stomach ache  i think they make their food with poison..but yet, its so good",Mon Jun 01 09:19:30 PDT 2009,Negative
47,0,@raisingurl  we can go out and get you food ya?,Mon Jun 01 18:20:06 PDT 2009,Negative
48,0,back @ skool  in tech   can smell food tech class,Tue Jun 02 01:28:23 PDT 2009,Negative
49,0,"i made brownies and don't even feel like eating those.  (which is just as well, having not had any real food.)",Fri Jun 05 16:57:32 PDT 2009,Negative
50,0,"london travel, cfa exam and sandwich food for the last 24 hours has come to an end. back to sheffield. should wake up in 6 hours 4 office",Sat Jun 06 16:02:28 PDT 2009,Negative
51,0,trying to tough out the rest of the work day   need sleep and food!,Mon Jun 15 09:51:43 PDT 2009,Negative
52,0,"i really have to stop going out to eat for dinner - too much rich food, not enough healthy veggies",Mon Jun 15 18:57:17 PDT 2009,Negative
53,0,i need some real food,Wed Jun 17 20:15:28 PDT 2009,Negative
54,0,i'm really hungry. my mother refuses to make me food.,Sat Jun 20 03:27:46 PDT 2009,Negative
55,0,just got done eating way to much mexican food....uh im not gonna be any good for the rest of the day!!!,Sat Jun 20 14:34:10 PDT 2009,Negative
56,0,"being stoned makes my waffle cutting louder, food last longer, and freezis melt faster",Sun Jun 21 00:15:02 PDT 2009,Negative
57,0,this boy &quot;geoff&quot; was our garden help(god bless him) he used to work for food-not a plate of food but food provisions for his family,Thu Jun 25 07:56:09 PDT 2009,Negative
58,4,just found that locavore = a person who goes out of the way to eat food produced locally,Tue Apr 07 00:22:46 PDT 2009,Positive
59,0,eating lunch... forgot to get home cooked food this morning,Tue Apr 07 03:02:27 PDT 2009,Negative
60,0,@wholefoods any chance of you sharing your corn chowder recipe?  it's excellent and not sold in canada.,Sun May 03 22:36:34 PDT 2009,Negative
61,0,@foodandhowtoeat damn it ms...you had my hopes up!!!!   boo to the cure,Fri May 22 07:06:33 PDT 2009,Negative
62,0,just realised... drive thrus made me put on weight... wrong food at the wrong time  its so hard to resist u know!,Sun May 31 01:55:40 PDT 2009,Negative
63,0,is hungry  craving for fried food!,Mon Jun 01 00:08:42 PDT 2009,Negative
64,0,is missing the fam and good old south african food.,Tue Jun 02 13:30:30 PDT 2009,Negative
65,0,uhm...  thai food doesn't have same magic w/o the spicy,Tue Jun 02 14:29:45 PDT 2009,Negative
66,0,poisoned by food,Fri Jun 05 16:28:27 PDT 2009,Negative
67,0,in need of food and missing my baby,Fri Jun 05 22:10:06 PDT 2009,Negative
68,0,don't you hate it when your starving and everyone at your table got their food already and are eating it haha,Sun Jun 07 14:29:15 PDT 2009,Negative
69,0,@djheatdc no food,Sun Jun 07 19:24:09 PDT 2009,Negative
70,0,@cherylchong yah! i wan to eat malay food leh  what you doing nw!,Mon Jun 15 01:17:35 PDT 2009,Negative
71,0,"i will be facing the evils of the drive-thru today (banking, that is, not fast food). i think i'm going to miss the call center a bit",Mon Jun 15 05:10:11 PDT 2009,Negative
72,0,really need to stop talking about food when everything is closed for the night.  guess i'll stick with brownies then.,Tue Jun 16 22:59:03 PDT 2009,Negative
73,0,mcdonalds run because bonnie and carol failed to bring me food,Wed Jun 17 21:29:14 PDT 2009,Negative
74,0,"i feel gross! i ate so much greasy, fatty food today! blech...",Fri Jun 19 20:16:13 PDT 2009,Negative
75,0,"stupid parents took my food away 2 hours ago and now im starving. why, why",Sat Jun 20 00:27:11 PDT 2009,Negative
76,0,hmm chocolate cake xd gonna pig out tonight to make up for not pigging out last night because there was no food,Sat Jun 20 04:56:55 PDT 2009,Negative
77,0,"my house has no food, and i am hungry.",Mon Jun 22 17:02:34 PDT 2009,Negative
78,0,hmm hungry again. wish i had someone to make me some food.,Tue Jun 23 13:06:10 PDT 2009,Negative
79,0,"need food, have no food",Thu Jun 25 02:07:17 PDT 2009,Negative
80,0,@sapphire_city lol thanks and a cookout is when you invite friends over and hang out and cook food on a grill but there wont be a girll,Thu Jun 25 04:19:50 PDT 2009,Negative
81,0,"having lunch in a hotel's hall noisy &amp; boring &amp; horrible food, wrong choice",Thu Jun 25 05:46:06 PDT 2009,Negative
82,0,"@krist0ph3r oh yes i love food, but like i said it cant qualify as addiction  @gauravsaha",Thu Jun 25 06:40:17 PDT 2009,Negative
83,0,"damn... farrah. just saw food inc. last night, i wonder how many less people would get sick in the world if we could eat real foods.",Thu Jun 25 10:24:03 PDT 2009,Negative
84,0,@allenhortaleza: food tech today,Sun Apr 19 05:27:45 PDT 2009,Negative
85,0,"i have a newfound love for the following foods: ice tea, dutch gouda, coffee flavoured napoleons, spekulatius  and waffles - not good",Mon May 04 05:42:02 PDT 2009,Negative
86,0,@kblove901 me too. i hate food that my body didn't agree wit. so i'm running to the rr er 15min.  we sick!,Mon May 11 22:26:42 PDT 2009,Negative
87,0,"@brodyjenner i'm from canada, and no more canadian sea food for me! thats so sad!",Thu May 14 05:11:05 PDT 2009,Negative
88,0,@celticcrossing we don't really have any health food stores here,Sun May 17 17:08:38 PDT 2009,Negative
89,0,had a good shower but starving for food.,Wed May 27 07:26:34 PDT 2009,Negative
90,0,"an awful, awful thought just occurred to me.  we have to go food shopping tonight",Mon Jun 01 23:25:08 PDT 2009,Negative
91,0,"@kerwin_r lol yes i can! he buys me food, and sends me cute texts lol okay you're right. aint no gettin around it",Tue Jun 02 05:44:27 PDT 2009,Negative
92,0,u know what sucks is when u order food and its taking so long that u just wanna leave.....but u're surrounded by trees and walls....damn,Tue Jun 02 19:29:14 PDT 2009,Negative
93,0,"twello foodie tweets @ddelarama i still can't eat!  gaahhh, i keep dreaming of food. haha! http://tinyurl.com/p8xau3",Wed Jun 03 01:49:23 PDT 2009,Negative
94,0,will have to regulate food intake from now on. i will miss my favorite greasy grubs.,Thu Jun 04 22:58:29 PDT 2009,Negative
95,0,all my food is frozen and needs to be defrosted  so i'm getting lettuce at giant. i want salad.,Sat Jun 06 15:53:38 PDT 2009,Negative
96,0,"@ksuy yeah lol the last time i got in-n-out, i went home early with food poisoning",Sat Jun 06 23:55:53 PDT 2009,Negative
97,0,needs to go food shopping,Sun Jun 07 02:42:23 PDT 2009,Negative
98,0,i just had my first burger from a fast food resteraunt from whataburger in corpus christi tx (: im going to go visit selena next r.i.p,Sun Jun 07 13:25:36 PDT 2009,Negative
99,0,"up, had food, shit weather.  time to get ready for work i guess, bus at 9ish. byee x",Mon Jun 15 00:25:04 PDT 2009,Negative
100,0,"people have left the office to go and eat some delicious food that's just been cooked on film, why did i eat an early lunch!",Tue Jun 16 06:04:54 PDT 2009,Negative
101,0,just spent 80 quid on fuck all at the supermarket !!!! food should be free !!!,Tue Jun 16 06:10:22 PDT 2009,Negative
102,0,wanting food but stomach keeps rejecting,Tue Jun 16 06:32:12 PDT 2009,Negative
103,0,i am craving for japanese food,Wed Jun 17 20:02:12 PDT 2009,Negative
104,0,so i guess chinese food gave me a headache  boo,Thu Jun 18 13:25:41 PDT 2009,Negative
105,0,"@saranntay yeah, but so far away! and i am so sian to study.  wah you going to buy food. o_o i thought you had food at home!",Thu Jun 18 16:36:43 PDT 2009,Negative
106,0,sooo hungry &amp;  no money or food  feed me???,Fri Jun 19 17:10:14 PDT 2009,Negative
107,0,love thunderstorms.  wish we didn't have to leave missy's house.   perfect movies-pjs-food day,Sat Jun 20 14:50:41 PDT 2009,Negative
108,0,@rreezy: lucky!! i want some chinese food!!,Sat Jun 20 17:40:11 PDT 2009,Negative
109,0,"filipino food, mangoes, ice cream cake, texas hold 'em. my stomach hurts.",Sat Jun 20 23:19:29 PDT 2009,Negative
110,0,"long day of moving and painting with the fam, they even &quot;treated&quot; me to a huge mcdonnalds dinner   people need to learn about health food",Tue Apr 07 05:58:13 PDT 2009,Negative
111,0,"i want food, more more food!",Mon Apr 20 00:36:05 PDT 2009,Negative
112,0,"dogs outside my window  well i have to pack, shower, and all-nighter? haha my head hurtsss mmm someone get me food",Sun May 17 00:04:50 PDT 2009,Negative
113,0,waiting for my turn to buy my food... so so so hungry...,Thu May 28 21:52:47 PDT 2009,Negative
114,0,power is still out! i'm afraid that my milk and frozen foods i just bought will go bad.,Thu May 28 22:45:18 PDT 2009,Negative
115,0,"hates the everything about  seafood.. just so happened to serve lobster in the chow hall... noooowww, i gotta headache.. ugh! smh...",Fri May 29 10:38:59 PDT 2009,Negative
116,0,willie is pouting because grandma didn't put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293,Fri May 29 11:47:00 PDT 2009,Negative
117,0,"wishes he could cook more food, theres a good part time chefs job near me",Sat May 30 12:14:55 PDT 2009,Negative
118,0,lately i make myself too much food at meals. it's so wasteful.,Mon Jun 01 22:12:24 PDT 2009,Negative
119,0,"there is no food, again. i want dinner  or lunch or breakfast, really.",Sat Jun 06 22:40:11 PDT 2009,Negative
120,0,"@phone_is_tapped show some compassion. they work in fastfood and live in nj. ughhh, what a bad break.",Sun Jun 07 12:50:07 PDT 2009,Negative
121,0,so bored. wants food. wants a hug,Mon Jun 15 04:34:59 PDT 2009,Negative
122,0,"just cleaned my room, im now starving. food then back to college  work",Tue Jun 16 03:28:56 PDT 2009,Negative
123,0,doing assist. suicide intervention course for next two days.  good so far. food rotten,Tue Jun 16 05:13:55 PDT 2009,Negative
124,0,"been to the gym, responded to emails, got food for tonight - can't put it off any longer...it's time to clean the house",Wed Jun 17 18:26:45 PDT 2009,Negative
125,0,my latest food concoction. bust. the fish didn't cook all the way through,Thu Jun 18 16:02:04 PDT 2009,Negative
126,0,i miss my @foodphilosophy,Fri Jun 19 15:03:48 PDT 2009,Negative
127,0,can't find anybody to go out for mexican food &amp; drinks with me,Fri Jun 19 18:08:55 PDT 2009,Negative
128,0,with family @ village inn after hike. cant find food not fried &amp; smothered in cheese &amp; cream based sauces,Fri Jun 19 20:53:52 PDT 2009,Negative
129,0,@junkfoodtees i cannot believe you guys ship only to the usa   you fail so hard! i love the blue springsteen tee &amp; i'm from holland!,Sat Jun 20 03:04:48 PDT 2009,Negative
130,0,sister stopped by... brought me food...since i am stuck in the house...,Sat Jun 20 19:18:44 PDT 2009,Negative
131,0,...however which is slightly dodgy but never mind. off to wesh my hair then do my food tech and attempt my english. seriously cbb,Mon Jun 22 11:42:08 PDT 2009,Negative
132,0,"well i've had a terrible night, gotta go to boots for supplies then tesco for food  feel awful! calling in sick tonight me thinks",Mon May 04 02:01:50 PDT 2009,Negative
133,0,"@sukritid oh man, so so good sounding. i miss nud pob  not much in the way of thai food in saratoga springs...",Thu May 28 22:32:07 PDT 2009,Negative
134,0,@natalieharris  she (dog) really not well. taking her to see vet later today. poor thing. normally she loves food but she hardly eaten,Sat May 30 02:46:08 PDT 2009,Negative
135,0,back in my beautiful puerto rico! ... but no more 24 hour food,Mon Jun 01 10:31:36 PDT 2009,Negative
136,0,no wonder i'm so cold. someone turned the ac on! it thought it was forbidden. i'm watching food network. bobby flay! mom left for europe,Mon Jun 01 11:42:36 PDT 2009,Negative
137,0,"diners, drive-ins, and dives... man i need some yummy food now... but i already had dinner!",Mon Jun 01 19:40:42 PDT 2009,Negative
138,0,note to self: if it says on the drugs packet &quot;to be taken with food&quot; there's probably a good reason for it.  empirical test confirms it,Sun Jun 07 02:12:23 PDT 2009,Negative
139,0,"either food poisoning is attacking multiple food outfitters in la, or some flu bug is attacking campus during finals. either way=awesome",Sun Jun 07 19:22:31 PDT 2009,Negative
140,0,@unkscreenwriter you want to try living in england... no god mexican food at all!!! i miss burritos,Mon Jun 15 14:10:01 PDT 2009,Negative
141,0,"nooo say it isn't true, did the chinese lady really try to give me food poisoning?  fucking bitch, it tasted excellent though lol",Thu Jun 18 13:19:46 PDT 2009,Negative
142,0,no food for me  i'm soooo hungry! anyone hungry? i reallly need to not use my credit card so much,Thu Jun 18 20:49:06 PDT 2009,Negative
143,0,its 3:20 am.. i just got home and i'm starving   i need to go food shopping!,Sat Jun 20 00:20:52 PDT 2009,Negative
144,4,"one night transit in bali, it took 20 minutes flight from lombok by garuda. they not served food, only 'teh kotak'",Tue Apr 07 05:19:49 PDT 2009,Positive
145,4,plan for the day: aquarium &amp; soul food,Tue Apr 07 05:39:46 PDT 2009,Positive
146,0,the line at petrol pump was killer and the guy at subway (food joint) is too slow. missing #ipl,Sat Apr 18 08:25:40 PDT 2009,Negative
147,0,@shannatram  @alice_ash we ate already  but if you wanted to come over with food no one would be offended,Sat Apr 18 20:26:36 PDT 2009,Negative
148,0,it's been 3 days since i've heard from my boyfriend. i wish @paula_deen was my mother. i know she'd make me some fried comfort food.,Sun Apr 19 00:56:33 PDT 2009,Negative
149,0,@fonejacker12009 awww i gots no food  need to go shopping. mmm orange juice! just get back into bed be lazy haha,Fri May 22 04:26:27 PDT 2009,Negative
150,0,@herojaejoong feel hungry now   cook for me pleaseyour food it's my energy to work~,Fri May 29 02:36:10 PDT 2009,Negative
151,0,still hungry  waiting for food,Sat May 30 20:30:35 PDT 2009,Negative
152,0,'s favourite food is spaghetti...but it goes straight to her thighs.,Sat May 30 21:32:08 PDT 2009,Negative
153,0,no food  eating peach-o's and diet coke. not a bad breakfast....,Sun May 31 14:46:47 PDT 2009,Negative
154,0,food poisoned by red robin,Mon Jun 01 02:31:29 PDT 2009,Negative
155,0,"goodmorning, i feel a bit hungover. plus there's no food left in the house",Sun Jun 07 04:11:20 PDT 2009,Negative
156,0,art's graduation is today. why is every fast food place in town packed right now?,Mon Jun 15 11:09:09 PDT 2009,Negative
157,0,i'm in love with snickerdoodle cookie from whole foods we see each other almost every day. i'm going to turn into a fat ass,Tue Jun 16 19:42:15 PDT 2009,Negative
158,0,@ iowafoodcoop.  hearing about my leg of lamb.  sally just hung up on me.,Thu Jun 18 08:28:13 PDT 2009,Negative
159,0,@jessygrass junk food galore w/o you,Fri Jun 19 08:57:18 PDT 2009,Negative
160,0,"@igotchi if you can eat it with your fingers and it has a positive calorie count, it's junk food. that pretty much just leaves celery.",Thu Jun 25 04:41:22 PDT 2009,Negative
161,0,has had a lovely tuna salad off the gmtv bikini diet this is the best diet ive ever done so much yummy food !!!! im now off bk 2 work,Thu Jun 25 06:50:18 PDT 2009,Negative
162,0,comfort food...    ... bugger bugger bugger followed by several other un typable words if i am still considered to be a lady....!!!,Fri May 01 23:41:27 PDT 2009,Negative
163,0,mike made the s. eat when she was supposed to nap. she resented the food and naturally is over-tired now  time to cancel my grocery trips?,Sun May 03 03:14:23 PDT 2009,Negative
164,0,doesn't feel like cooking lunch but has to.  and is craving italian food. blasts!,Sun May 17 10:13:57 PDT 2009,Negative
165,0,heading home. food then bed. my sister leaves in a.m.,Sun May 17 23:49:42 PDT 2009,Negative
166,0,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting,Thu May 28 23:30:39 PDT 2009,Negative
167,0,shit got to go do the grocery.. i almost got no more food  snif snif...,Fri May 29 13:07:28 PDT 2009,Negative
168,0,i wish i never spent my £30 on food,Sun May 31 09:39:23 PDT 2009,Negative
169,0,its hard to be at the fashion district in la when you are dieting bc there's food everywhere outside!! smells sooooo frkn good,Mon Jun 01 18:01:21 PDT 2009,Negative
170,0,tomorrow i need to eat &quot;real&quot; food not just coffee and sugar.,Mon Jun 01 23:02:54 PDT 2009,Negative
171,0,@foodbymark i'd love to go there too. i think it was in ofm they said that it was quite easy to get a table for lunch. if they are open.,Tue Jun 02 04:31:45 PDT 2009,Negative
172,0,crushing thera flu and still feels like shit ugh  ...and im hungry with no food..life is sucky right now.,Fri Jun 05 09:09:27 PDT 2009,Negative
173,0,"huge pot of minces steak, onions, carrots &amp; butterbeans on the stove - comfort food required tonight - baby had a bad day",Fri Jun 05 13:03:41 PDT 2009,Negative
174,0,@uhohmonbon i have 8 weeks of being swollen and eating soft foods  we both have sucky summers,Sun Jun 14 22:56:07 PDT 2009,Negative
175,0,"i never turn down free food, i just forgot it was there.",Mon Jun 15 14:02:37 PDT 2009,Negative
176,0,food makes you fat  i need to stop eating all together i swear!,Tue Jun 16 03:27:09 PDT 2009,Negative
177,0,@bananaramaanna bet you're not doing anything productive now :l theres no food in my house,Tue Jun 16 05:07:53 PDT 2009,Negative
178,0,i'm hungry and miss camp food,Wed Jun 17 06:59:26 PDT 2009,Negative
179,0,i want burnies  but instead i get some gay food,Fri Jun 19 14:17:19 PDT 2009,Negative
180,0,where's the soul food in boston!!,Sat Jun 20 20:09:29 PDT 2009,Negative
181,0,@mrbmoney excuse me lol i wish sum1 culd make me sum food right now i wanna get bck in my bed,Tue Jun 23 08:58:32 PDT 2009,Negative
182,0,@mckelvie goddamn that is some bad food poisoning,Tue Jun 23 13:55:16 PDT 2009,Negative
183,0,@coderneedsfood ugh.,Sat May 09 22:50:00 PDT 2009,Negative
184,0,epic food poisoning  no work for me today. been up all night and feel completely rubbish,Sun May 17 00:29:39 PDT 2009,Negative
185,0,@mrskutcher i worked in food service and they told me it is cheaper to throw it than to give it i.e. to public kitchen cause of liability,Fri May 29 18:02:37 PDT 2009,Negative
186,0,omg you guys keep talking about food! wth i'm hungry again,Fri May 29 18:06:16 PDT 2009,Negative
187,0,having a drink at spoons. an hour till food arrives.,Sat May 30 04:42:21 PDT 2009,Negative
188,0,my belly is full from chinese food and...i forgot the leftovers!!!! why?!  leftover chinese food is the best *sniff* *sniff* so stupid!,Sat May 30 16:37:45 PDT 2009,Negative
189,0,@lilyroseallen think you have to go and have skin tests and perhaps keep a food/contact diary,Sun May 31 12:07:16 PDT 2009,Negative
190,0,the food simply sucks!,Mon Jun 01 05:29:08 PDT 2009,Negative
191,0,is hungry...need some food,Mon Jun 01 07:44:05 PDT 2009,Negative
192,0,in science class. want to sleep so bad. i want more food,Tue Jun 02 04:38:53 PDT 2009,Negative
193,0,gah im hungry someone bring me food!!,Sat Jun 06 18:36:59 PDT 2009,Negative
194,0,@foodieprints a friend googled one of my recipes and she found their site right underneath mine.,Mon Jun 15 17:15:36 PDT 2009,Negative
195,0,can't find fast food near port hueneme after midnight  no lunch for me. note to self: make sure you bring a lunch when working nights,Tue Jun 16 00:45:22 PDT 2009,Negative
196,0,misses solid foods,Tue Jun 16 00:55:42 PDT 2009,Negative
197,0,"hrm, i'm broke until tomorrow at about 2am, but i'm out of cigarettes and have no food for work tonight. me = sad panda",Wed Jun 17 22:30:24 PDT 2009,Negative
198,0,"ok i seriously need food.. i don't think i can wait until dinner time, i'm starving",Sat Jun 20 01:30:07 PDT 2009,Negative
199,0,11 days without a shower eating freezedried food. yum. happy to be back in civilization. get to go home tomorrow. no internet here though,Sat Jun 20 19:10:24 PDT 2009,Negative
200,0,"@indianfoodrocks i'd come down to run with you,  but it's quite warm outside here and i can only guess how hot it is there",Mon Jun 22 12:31:01 PDT 2009,Negative
201,4,"@nc72 right. i'm going to buy food now. but don't worry. i'll have my iphone with me, so i can still check on packing process.",Tue Apr 07 08:10:44 PDT 2009,Positive
202,0,tuesday and i are going to watch scary movies. and eat junk food. but no cookie dough.,Fri May 01 20:08:57 PDT 2009,Negative
203,0,@thehartworker twitter and food do go together quite nicely. bin neidisch! heute morgen: wake up-pfannkuchen riechen-keine da  #sehnsucht,Sun May 03 06:03:54 PDT 2009,Negative
204,0,made all this chicken soup and i dun want none  i don't want nuffin.. i dun want food,Mon May 04 02:38:08 PDT 2009,Negative
205,0,can someone bring me food? or take me to breakfast? i don't wanna cook again,Fri May 22 03:51:01 PDT 2009,Negative
206,0,i guess @iamspectacular is mad at me. i think i went too far with the jokes   oh well! to the kitchen i go. the food is calling me,Wed May 27 07:23:51 PDT 2009,Negative
207,0,"i went to a local brainwashing center, with my best friend and my good friend...i had to sit through an hour sermon for fucking food!",Sat May 30 09:02:00 PDT 2009,Negative
208,0,last minute &quot;sight-seeing&quot; and food stops in la before we return the car @530pm,Sat May 30 09:02:49 PDT 2009,Negative
209,0,money got stolen so instead of a really nice romantic day out we have to improvise with no food at home,Sat May 30 15:32:38 PDT 2009,Negative
210,0,@ellebees  everyone knows food and bathrooms don't mix.,Sun May 31 16:43:19 PDT 2009,Negative
211,0,i am spending too much money on food,Mon Jun 01 20:59:10 PDT 2009,Negative
212,0,my cat just tried to put a living bird in his food bowl.. :o poor bird,Tue Jun 02 23:31:24 PDT 2009,Negative
213,0,"should've gone to school, there's no type of food here! and my mom left me home alone  wtf?!",Fri Jun 05 12:32:09 PDT 2009,Negative
214,0,there's too much evil temptation food at my mum and grandma's house,Sat Jun 06 03:09:11 PDT 2009,Negative
215,0,temp at 38 now. oh noes i hope i can still make it for camp tmr!!!! but guess i'm gonna have to give jap food a miss,Sat Jun 06 23:47:02 PDT 2009,Negative
216,0,nooooo! i've got stretchmarks on my hips  thats probably where all the junk food goes.,Sun Jun 07 04:06:38 PDT 2009,Negative
217,0,imba hungry  where is food? - http://tweet.sg,Sun Jun 14 22:57:29 PDT 2009,Negative
218,0,@kateesslemont there is no food to be had,Mon Jun 15 05:12:29 PDT 2009,Negative
219,0,misses home cooked food,Wed Jun 17 01:42:54 PDT 2009,Negative
220,0,"@roccoreedxxx no food talk !  your killing me, lol.",Thu Jun 18 00:24:11 PDT 2009,Negative
221,0,@wimjimjam lmao. 50 cents!! haha. oh yeah.. economic problems :/ stupid thing  although fastfood should be on a rising ;),Thu Jun 18 04:40:30 PDT 2009,Negative
222,0,@zaza_s havent tasted your food in a min,Thu Jun 18 15:42:43 PDT 2009,Negative
223,0,feeling glum. missing hubby and rehoming our cat on monday - just got his travel box out   eating cheese on toast as comfort food,Sat Jun 20 04:15:59 PDT 2009,Negative
224,0,have eaten so much food. desperately need to go to the gym but busy tomorrow,Sat Jun 20 11:29:34 PDT 2009,Negative
225,0,someone bring me food? i'll starve to death otherwise  lol,Sun May 03 04:11:36 PDT 2009,Negative
226,0,just came home from a night int he hospital and ii have food poisoning,Fri May 22 05:12:51 PDT 2009,Negative
227,0,awe! i wish i could bring food to joes work but only too bad i'm at work as well!,Sat May 30 12:02:02 PDT 2009,Negative
228,0,". @saburitz turned the crockpot on before we left, but forgot to plug it in… no food for us",Sun May 31 16:03:42 PDT 2009,Negative
